Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Provision Of Alcoholic And Non-Alcoholic Beverages To The Royal Hospital Chelsea,Royal Hospital Chelsea Appeal Limited,Opportunity,Open,Sw3 4Sr,2024-06-21 10:00:00,  £280000,2024-05-22
Audit Services For Health (Sbs10517),N H S Shared Business Services,Early Engagement,Open,United Kingdom,2024-07-01 00:00:00,Publication date 22 May 2024,
Public Conveniences Upgrade Project 2024,Forest Of Dean District Council,Opportunity,Open,Gl16 8Hg,2024-06-21 17:00:00,  £290000 to £310000,2024-05-22
Govprint Cloud Prior Information Notice,Government Property Agency,Early Engagement,Open,United Kingdom,2024-06-16 00:00:00,Publication date  8 May 2024 last edited 22 May 2024,
Ca13984 - Learning Academy Partnership South West Asbestos Monitoring Services Contract,Learning Academy Partnership South West,Opportunity,Open,Tq12 3Sb,2024-05-28 13:00:00,  £0,
St Neot Community Shop And Cafe,St Neot Parish Council,Opportunity,Open,South West,2024-06-18 17:00:00,  £100000 to £130000,
Sme Support For Sepa Ppc Application,Cpi (Centre For Process Innovation),Opportunity,Open,Ts104Rf,2024-06-03 12:00:00,  £50000 to £179000,
Home Care Services,Cornwall Council,Opportunity,Open,England,2024-05-31 12:00:00,  £200000000 to £232104000,
Rfi0041 Rn Modular/Containerised Mw Concepts,Ministry Of Defence,Early Engagement,Open,Any Region,2024-06-12 00:00:00,Publication date 22 May 2024,
Local Plan Review Climate Change Study - A1136,Swale Borough Council,Opportunity,Open,England,2024-06-05 16:30:00,  £40000,
Cbc-1676-Lv-Kw Langford Meadows Boundary Fence,Central Bedfordshire Council,Opportunity,Open,Sg17 5Tq,2024-05-30 06:00:00,  £14495,
Bin Enclosures,Wandsworth Borough Council,Opportunity,Open,Sw18 2Pu,2024-06-24 12:00:00,  £488000,2024-05-22
"Dud - Drain Jetting, Cctv Surveys, Drainage Repairs, Drain Lining And Gutter Vacuuming 2024",Dudley Metropolitan Borough Council,Opportunity,Open,Dy1 1Hf,2024-06-10 12:00:00,  £600000 to £700000,2024-05-22
Staff Shuttle Bus Service Tender For Oxford University Hospitals Nhs Foundation,Oxford University Hospitals Nhs Trust,Opportunity,Open,Ox4 2Gq,2024-06-17 12:00:00,  £200000,2024-05-22
Gb-Liverpool: Brand Evolution Project,The Acc Liverpool Group Limited,Opportunity,Open,North West,2024-05-29 12:00:00,  £25000 to £50000,
Creation Of Changing Rooms At Westhill Recreation Ground,Westfield Parish Council,Opportunity,Open,Ba3 3Te,2024-06-28 17:00:00,  £75000 to £200000,2024-05-22
Heart Of Yorkshire Education Group - Adult Skills Funded Provision,Heart Of Yorkshire Education Group,Opportunity,Open,Yorkshire And The Humber,2024-07-02 12:00:00,  £1000000,2024-05-22
Pneumococcal Vaccine For Adults And At Risk Groups (2025),Uk Health Security Agency,Opportunity,Open,United Kingdom,2024-06-27 13:00:00,  £0,2024-05-22
2024 May Local Bus Services - Batch 2,Cambridgeshire & Peterborough Combined Authority,Opportunity,Open,England,2024-06-21 12:00:00,  £0,2024-05-22
Collection And Disposal Of Tankered Liquid Waste - Hdg/2024/682,Stoke-On-Trent City Council,Opportunity,Open,England,2024-06-28 12:00:00,  £97375,
Ho3 Body Armour,Metropolitan Police Service,Future Opportunity,Open,United Kingdom,,  £400000,2024-05-22
Invitation To Tender,Heart Of Yorkshire Education Group Ltd,Opportunity,Open,Wf10 4Ua,2024-06-07 12:00:00,  £4000000,
Ascent Homes- Hadston- Windows & External Doors,Advance Northumberland Limited,Opportunity,Open,England,2024-06-21 23:30:00,  £250000,2024-05-22
Future Uk Giga-Watt - Early Market Information,Desnz,Early Engagement,Open,Any Region,2024-08-30 00:00:00,Publication date 22 May 2024,
Ophthalmology Emr Replacement,Oxford University Hospitals,Opportunity,Open,Ox4 2Pg,2024-06-24 17:00:00,  £0,2024-05-21
Force Control Room - Independent Domestic Violence Advocate (Idva),The Office Of The Police & Crime Commissioner,Early Engagement,Open,Yorkshire And The Humber,2024-06-21 00:00:00,Publication date 21 May 2024,
Custody Healthcare Telephone Advice Service And Pharmaceutical Service - Rfi,Kent Police,Early Engagement,Open,Me15 9Bz,2024-06-03 00:00:00,Publication date 21 May 2024,
Mast-U Double Beam Box Cooling Water,United Kingdom Atomic Energy Authority,Opportunity,Open,South East,2024-06-25 12:00:00,  £0,2024-05-21
"Maintenance Contract Of Lifts Campus-Wide And Preferred Supplier Status For The Refurbishment, Replacement, Supply And Install Of New Lifts",University Of Plymouth,Opportunity,Open,Pl4 8Aa,2024-06-20 12:00:00,  £0,2024-05-21
Soft Market Testing - Pay & Display Parking,Bristol City Council,Early Engagement,Open,England,2024-08-21 00:00:00,Publication date 21 May 2024,
Gb-London: Shift Data Platform Developer Services,London Legacy Development Corporation,Opportunity,Open,London,2024-06-11 11:00:00,  £100000 to £500000,2024-05-21
Soft Market Testing - Cashless Parking,Bristol City Council,Early Engagement,Open,England,2024-06-10 00:00:00,Publication date 21 May 2024,
Ohcat - Link Primary School - Internal Refurbishment And New Outbuilding,Orchard Hill College & Academy Trust,Opportunity,Open,South East,2024-06-12 12:00:00,  £250000 to £300000,2024-05-21
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes For Haringey,London Borough Of Haringey - Parks And Leisure,Opportunity,Open,United Kingdom,2024-06-03 10:00:00,  £0,2024-05-21
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough Of Haringey - Parks And Leisure,Opportunity,Open,United Kingdom,2024-06-04 10:00:00,  £0,2024-05-21
Healthwatch Sheffield,Sheffield City Council,Opportunity,Open,Yorkshire And The Humber,2024-06-20 12:00:00,  £0 to £2400000,2024-05-21
"Expression Of Interest For Supported Living Services For People With A Learning Disability, Autism, Impairment Or Mental Health Need Framework",Southend City Council,Early Engagement,Open,England,2024-05-28 00:00:00,Publication date 21 May 2024,
Breastfeeding In The Community,Sheffield City Council,Opportunity,Open,S1 2Hh,2024-06-07 12:00:00,  £0 to £1324000,2024-05-21
Provision Of Insurance And Related Services To Bernicia Group,Bernicia Group,Opportunity,Open,Any Region,2024-06-20 17:00:00,  £5640000,2024-05-21
Framework For Home Support Providers For West & North Norfolk,Norfolk County Council,Opportunity,Open,Nr1 2Dh,2024-06-20 14:00:00,  £0,2024-05-21
Pan2766 - Southfield Newry Housing Scheme,Leicester City Council,Opportunity,Open,England,2024-07-15 12:00:00,  £19000000,2024-05-21
Dhsc: Adult Social Care Digital Expertise,Department Of Health And Social Care,Opportunity,Open,Sw1H 0Eu,2024-06-06 09:00:00,  £474666,2024-05-21
Minibus Hire,Bishop Burton College,Opportunity,Open,Hu17 8Qg,2024-05-28 13:00:00,  £0,
Galvanised Metal Embankment Staircases - Twyford To Greatworth,"Eiffage Kier Jv Hs2 Main Civils Works, Lots C2 & C3",Opportunity,Open,"East Midlands, West Midlands, South East",2024-05-28 17:00:00,  £100000 to £150000,2024-05-21
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes For Haringey,London Borough Of Haringey - Parks And Leisure,Opportunity,Open,United Kingdom,2024-06-05 10:00:00,  £0,2024-05-21
In-Situ Road Recycling,Cumberland Council,Opportunity,Open,England,2024-06-07 12:00:00,  £200000,2024-05-21
"Beck Hill Multi Storey Car Park, Bridlington East Yorkshire",East Riding Of Yorkshire Council,Future Opportunity,Open,Yo15 3Af,,  £10500000,2024-05-21
Concession Contract For The Sale Of Kerbside Collected Recyclates,Dudley Metropolitan Borough Council,Opportunity,Open,Dy1 1Hf,2024-06-21 13:00:00,  £0,2024-05-21
Reasonable Adjustments Hybrid Model Pilot,Knowledge Transfer Network Limited,Opportunity,Open,N1 0Qh,2024-06-20 17:00:00,  £35000,2024-05-21
Itt - Cw Tuneable Laser Source,National Physical Laboratory,Opportunity,Open,Tw11 0Lw,2024-06-27 15:00:00,  £0 to £650000,
Gb-London: 002417 London Fashion Week British Library And British Fashion Council Student Competition - Consultancy & Stakeholder Management,The British Library,Opportunity,Open,Any Region,2024-06-14 12:00:00,  £10000 to £25000,2024-05-21
Sector Fund,Department For Education,Early Engagement,Open,Any Region,2024-06-04 00:00:00,Publication date 15 May 2024 last edited 21 May 2024,
Support For Economically Inactive Residents,Cherwell District Council,Opportunity,Open,East Of England,2024-06-19 10:00:00,  £96000,2024-05-21
Ra341996 - B&Sc - Cisco Equipment,Barnet And Southgate College,Opportunity,Open,N14 6Bs,2024-06-07 15:00:00,  £0,2024-05-21
Gb-London: 002416 Higher Education & Science Event Management Services - 2024-2025,The British Library,Opportunity,Open,Any Region,2024-06-14 12:00:00,  £10000 to £25000,2024-05-21
Main Contractor - 'The Inspiring For Everyone Raf Museum Midlands Development Programme',Raf Museum Midlands,Opportunity,Open,West Midlands,2024-06-28 00:00:00,  £20000000,2024-05-21
Sim Sitewide Fire Compartmentation & Fire Door Remedials,Science Museum Group,Opportunity,Open,Sw7 2Dd,2024-06-26 18:00:00,  £600000 to £1200000,2024-05-21
"Cbc-1684-Fa-Ls Supported Living (Incorporating Mental Health, Learning Disabilities & Autism And Physical Disabilities)",Central Bedfordshire Council,Opportunity,Open,Sg17 5Tq,2024-07-01 09:00:00,  £0,2024-05-21
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes For Haringey,London Borough Of Haringey - Parks And Leisure,Opportunity,Open,United Kingdom,2024-06-10 13:00:00,  £0,2024-05-21
Tree Maintenance - Planned - Tree Maintenance - Planned - Homes For Haringey,London Borough Of Haringey - Parks And Leisure,Opportunity,Open,United Kingdom,2024-06-11 10:00:00,  £0,2024-05-21
"Market Sounding - Manufacture, Supply And Installation Of Modular Ramps",Leeds City Council,Opportunity,Open,Yorkshire And The Humber,2024-06-05 12:00:00,  £500000,2024-05-21
"Pre-Entry Medical Assessment Services For The Royal Navy, Royal Marines And Reserves",Ministry Of Defence,Opportunity,Open,Any Region,2024-06-04 12:00:00,  £8275833.33,
Provision Of Ict Service Management Tool,Commonwealth Secretariat,Opportunity,Open,Sw1Y 5Hx,2024-05-31 12:00:00,  £1 to £60000,
Outdoor Gyms - Trafford Council,Trafford Council,Opportunity,Open,England,2024-06-13 14:00:00,  £75000,
Ascent Homes- Hadston- Losc Brickwork,Advance Northumberland Limited,Opportunity,Open,United Kingdom,2024-07-15 12:30:00,  £600000,2024-05-21
E2412 Electrical Refurbishment At St. Mathews Ks1 Primary School,Luton Council,Opportunity,Open,England,2024-06-11 23:59:00,  £322000,2024-05-21
Sensor-Based Ore Sorter,University Of Exeter,Opportunity,Open,South West,2024-06-20 12:00:00,  £0 to £420000,2024-05-21
"Invitation To Join A Dynamic Purchasing System (Dps) Of Temporary Agency, Contractor And Interim Agencies For Preferred Supplier Listing (Psl) Status For Halton Borough Council - Y25002",Halton Borough Council And Commercials Services Kent Ltd T/A Connect2Halton,Opportunity,Open,Any Region,2030-08-30 14:00:00,  £100000000,2024-05-21
Occupational Health Services Including Health Surveillance,Mhs Homes Group,Opportunity,Open,South East,2024-06-19 12:00:00,  £54000,2024-05-21
Pq0524 - Cultural Humility And Safety Training,Birmingham City Council,Opportunity,Open,B4 7Wb,2024-06-13 12:00:00,  £0,2024-05-21
Arts-Science Collaborations,Natural England,Opportunity,Open,United Kingdom,2024-06-10 09:00:00,  £40000 to £48000,
Northcott School Urgent Repairs,Hull City Council,Opportunity,Open,Hu7 4El,2024-06-21 12:00:00,  £0,2024-05-21
Serpentine Reservoir Dell Culverts Remediation Works,The Royal Parks,Opportunity,Open,Any Region,2024-06-13 00:00:00,  £100000,2024-05-21
2024 May Local Bus Services - Batch 1,Cambridgeshire & Peterborough Combined Authority,Opportunity,Open,England,2024-06-20 12:00:00,  £0,2024-05-21
Security & Policing Immersive Experience Stand Build And Design,Home Office,Opportunity,Open,London,2024-07-19 12:00:00,  £0,2024-05-21
Direct Payments Service,Swindon Borough Council,Opportunity,Open,Sn1 2Jn,2024-06-19 14:00:00,  £372000,2024-05-21
Gb-Garelochhead: Opa/T652 Ofd Garelochhead White Oils Manifold Repairs,Oil And Pipelines Agency,Opportunity,Open,Any Region,2024-05-29 12:00:00,  £10000 to £25000,2024-05-21
Ages Of Space Gallery And New Masterplan Galleries  Electrical Engineer,Science Museum Group,Opportunity,Open,Sw7 2Dd,2024-06-21 16:00:00,  £0 to £40000,2024-05-21
Co-Designing And Evaluation Framework For Recruitment And Retention,Defra,Opportunity,Open,Sw1P 4Df,2024-06-24 12:00:00,  £270000 to £280000,2024-05-21
Archive Service Accreditation 10 Year Review - Phase 2,The National Archives,Opportunity,Open,Tw9 4Du,2024-06-24 17:00:00,  £0 to £12000,2024-05-21
"Lift Repairs At The Hat Tech , Hatfield",Welwyn Hatfield Borough Council,Opportunity,Open,Al8 6Ae,2024-06-10 12:00:00,  £50000 to £70000,
Gb-Leeds: Sb735 Strip Out Of James Graham Sound Studios,Leeds Beckett University,Opportunity,Open,Yorkshire And The Humber,2024-06-03 12:00:00,  £50000 to £100000,2024-05-21
Ca14134 - Market Operator,Spelthorne Borough Council,Opportunity,Open,Tw18 1Xb,2024-06-24 12:00:00,  £0,2024-05-21
Cp2463-23 Devon & Torbay Local Electric Vehicle Infrastructure,Devon County Council,Early Engagement,Open,England,2024-08-17 00:00:00,Publication date 21 May 2024,
Replacement Of Polycarbonate Roofing,Barnsley Metropolitan Borough Council,Opportunity,Open,S72 9Ej,2024-06-14 12:00:00,  £0,2024-05-21
"Nursing, Midwifery And Ahp Education In Kent And Medway",Bip Solutions Limited,Opportunity,Open,South East,2024-05-31 00:00:00,  £0,2024-05-21
Gb-Rochford: Cleaning To Council Offices And Operational Assets,Rochford District Council,Opportunity,Open,East Of England,2024-06-24 12:00:00,  £100000 to £500000,2024-05-21
Autonomous Waste Sorting And Segregation (Auto-Sas) - Pin,Nuclear Decommissioning Authority,Early Engagement,Open,Ca24 3Hu,2024-06-26 00:00:00,Publication date 21 May 2024,
Lewisham Town Hall Chamber Affordable Workspace,London Borough Of Lewisham,Early Engagement,Open,England,2024-06-30 00:00:00,Publication date 21 May 2024,
Provision Of English Language Training For Special Purposes (Technical) Including General English Language Maths And Science Training For International Students,Ministry Of Defence,Opportunity,Open,Wv7 3Ex,2024-06-19 23:59:00,  £4088000,2024-05-21
St Paul'S Field Pathway,Lee Valley Regional Park Authority,Opportunity,Open,En2 9Hg,2024-07-16 12:00:00,  £0,2024-05-21
Nhs England Health & Justice South East - Children And Young Person'S Framework For Integrated Care Community Services (Thames Valley),"Nhs South, Central And West Commissioning Support Unit",Early Engagement,Open,South East,2024-06-18 00:00:00,Publication date 21 May 2024,
Cp1619-18 Supported Living Options For Children Looked After (Cla) & Eligible Care Leavers Entry Point 4,Devon County Council,Opportunity,Open,England,2024-06-21 12:00:00,  £13628000,2024-05-21
"Servicing Of All Electrical Systems Units At British High Commission Nigeria (Kaduna, Kano, Maiduguri, Enugu, And Port-Harcourt)",Foreign Commonwealth And Development Office,Opportunity,Open,Sw1A 2Ah,2024-06-20 16:00:00,  £0,2024-05-21
Clerk Of Works,University Hospitals Of North Midlands Nhs Trust,Opportunity,Open,West Midlands,2024-06-10 12:00:00,  £0,2024-05-21
"E-Itt For The Construction Of A Memorial Wall At Hightown Road Cemetery, Ringwood.",New Forest District Council,Opportunity,Open,England,2024-05-31 23:59:00,  £26000 to £30000,
Unlocking Space For Dual Use  Request For Information,Uk Space Agency,Early Engagement,Open,United Kingdom,2024-06-03 00:00:00,Publication date 24 April 2024 last edited 21 May 2024,
Education Estates Older Buildings Research,Department For Education,Early Engagement,Open,England,2024-07-15 00:00:00,Publication date 21 May 2024,
Community Roots Cornwall Cic,Community Roots Cornwall,Opportunity,Open,Tr4 8Fn,2024-05-22 17:00:00,  £300000,
Last Mile Logistics Hub In Hackney - Bentley Road Car Park,London Borough Of Hackney,Future Opportunity,Open,England,,  £1300000,2024-05-21
Phase 1 Cladding Remedial Works Project - Chloe And Thalia Court,Wandle Housing Association,Opportunity,Open,London,2024-07-01 12:00:00,  £2266478.29,2024-05-21
067-Bk-24 Security Services For Breckland District Council,Breckland District Council,Opportunity,Open,Nr19 1Ee,2024-06-11 11:00:00,  £110000 to £130000,2024-05-21
Bastion House Strip Out & Fit Out Works,City Of London Corporation,Opportunity,Open,London,2024-06-20 12:00:00,  £4949145,2024-05-21
Home Office Child Abuse Image Database (Caid) Hosting And Associated Services 2 - Market Engagement,Home Office,Early Engagement,Open,United Kingdom,2024-06-05 00:00:00,Publication date 21 May 2024,
Csc23096 Market Engagament For Independent Living Support For 16/17 Year Olds And Care Leavers,Worcestershire County Council,Early Engagement,Open,Wr5 2Np,2024-08-21 00:00:00,Publication date 21 May 2024,
Cwc23178 - Purchase Of 2 X Material Handlers Including R&M,Wolverhampton City Council,Opportunity,Open,Wv1 1Rl,2024-06-21 12:00:00,  £1 to £539000,2024-05-21
Bhcc Dh Public Health Funerals (2),Bhcc Public Health,Opportunity,Open,Bn1 1Je,2024-06-20 17:00:00,  £0,
Construction & Asset Upgrade / Reinvestment Works Dps,Orbit Group Limited,Opportunity,Open,England,2029-06-24 23:59:00,  £20000000,
Broseley Town Council'S Christmas Lights Installation 2024,Broseley Town Council,Opportunity,Open,Tf125El,2024-06-21 15:00:00,  £0,2024-05-21
Gb-London: Traveline And Plusbus Web Services,Traveline Information Limited,Opportunity,Open,Any Region,2024-06-07 00:00:00,  £100000 to £500000,
Grantchester Heat Network - Stage 2,Grantchester Parish Council,Opportunity,Open,East Of England,2024-06-14 18:00:00,  £80000,2024-05-21
Digital Capability For Health 2,Crown Commercial Service,Opportunity,Open,United Kingdom,2024-06-21 15:00:00,  £1200000000,
Request For Quote For: Hdc202407 - The Provision Of Arboricultural And Forestry Services,Hart District Council,Opportunity,Open,Gu51 4Ae,2024-07-01 12:00:00,  £0,2024-05-21
Crime Education - Resource Development And Delivery Support,The Office Of The Police & Crime Commissioner,Opportunity,Open,Yorkshire And The Humber,2024-05-24 12:00:00,  £100000,
"Pillmere Community Play Provision, Saltash",Saltash Town Council,Opportunity,Open,Pl12,2024-06-11 17:00:00,  £80000 to £95000,2024-05-21
Operated Sweeper Hire 2024,Leicestershire County Council,Early Engagement,Open,East Midlands,2024-08-21 00:00:00,Publication date 21 May 2024,
Dps For Skills And Investment Grant Funding,Worcestershire County Council,Opportunity,Open,Wr5 2Np,2028-09-30 17:00:00,  £0 to £25000000,
"Pb2023-01219 Dynamic Purchasing System (Dps) For Home To School, Special Educational Needs And Vulnerable Adult Passenger Transport Services",Darlington Borough Council,Opportunity,Open,England,2024-06-25 12:00:00,  £15000000,2024-05-21
External And Communal Works Programme 2025 - 2030,Trent & Dove Housing Limited,Opportunity,Open,East Midlands,2024-06-28 12:00:00,  £9000000 to £11800000,2024-05-21
Ukri-3681 Moons Instrument Packaging And Shipment To Chile.,Uk Research & Innovation,Opportunity,Open,Any Region,2024-05-28 14:00:00,  £204551.52,
Supply Of Adobe Creative Cloud - All Apps - K12 Subscription Licences,Outwood Grange Academies Trust,Opportunity,Open,Wf1 2Pf,2024-06-10 12:00:00,  £100000 to £120000,
"Kitchen And Bathroom Labour Support Contract - 24/25, 25/26, 26/27",Beyond Housing,Opportunity,Open,Yo12 7Bh,2024-06-14 12:00:00,  £1 to £1000000,
Laundry Services,University Of York,Opportunity,Open,Yo10 5Dd,2024-06-24 12:00:00,  £0 to £160000,
Finance Transformation - Soft Market Testing,Yorkshire Housing Limited,Early Engagement,Open,Ls10 1Fb,2024-06-06 00:00:00,Publication date 21 May 2024,
Customer Printer Interface For Libraries,Norfolk County Council,Opportunity,Open,Nr1 2Dh,2024-06-21 10:00:00,  £0,2024-05-21
Children'S Residential Placements - Consortia Commissioning,Southampton City Council,Opportunity,Open,South East,2024-06-25 12:00:00,  £2345237300,
Dhsc: Smokefree Generation Fixed Penalty Notice And Disposable Vapes Ban Trading Standards Officer Training.,Department Of Health And Social Care,Early Engagement,Open,Sw1H 0Eu,2024-06-04 00:00:00,Publication date 21 May 2024,
Calow Recreation Ground - Refurbishment Of Pavilion,Calow Parish Council,Opportunity,Open,S44 5Ta,2024-06-21 12:00:00,  £100000,2024-05-21
Supply Contract For Office Stationery For British Embassy Baghdad,Foreign Commonwealth And Development Office,Opportunity,Open,Any Region,2024-06-03 10:00:00,  £32268,2024-05-21
Provision Of Medical Insurance Brokerage Services For British Embassy Bangkok,Foreign Commonwealth And Development Office,Opportunity,Open,Any Region,2024-06-21 11:00:00,  £53333,2024-05-21
"Repair, Maintenance And Associated Services",Golden Lane Housing Limited,Opportunity,Open,Any Region,2024-06-28 14:00:00,  £87000000,2024-05-20
"Facilities Management Services For The Residential Properties And The British Embassy In Caracas, Venezuela.",Foreign Commonwealth And Development Office,Opportunity,Open,Any Region,2024-06-25 23:59:00,  £0,2024-05-20
Lw101 Travel Management Services,Liverpool School Of Tropical Medicine,Opportunity,Open,North West,2024-06-20 16:00:00,  £6000000,2024-05-20
"Boundary Fencing Roe Lee Primary School, Blackburn",Blackburn With Darwen Borough Council,Opportunity,Open,England,2024-06-10 15:00:00,  £100000,2024-05-20
Plock Court Wetland Extension,Gloucester City Council,Opportunity,Open,England,2024-05-24 17:00:00,  £85000,
Electronic Payments And Associated Services,Procurement Assist Limited C/O Integrated Facilities Management Bolton Ltd (Ifm Bolton),Opportunity,Open,Any Region,2024-06-19 17:00:00,  £75000000,2024-05-20
Production Of Grant Recipient Case Studies And Short Videos For The Penzance And St Ives Town Deal Enterprise Grant Schemes,Cornwall Development Company Ltd,Opportunity,Open,South West,2024-05-31 17:00:00,  £15000 to £20000,
Calstock Village Hall Re-Imagined,Calstock Village Hall,Opportunity,Open,South West,2024-06-18 17:00:00,  £140000 to £170000,2024-05-20
Healthy Weight Services,Liverpool City Council,Opportunity,Open,England,2024-06-18 10:00:00,  £2500000,2024-05-20
Provision Of Cash Transit Services,South West Yorkshire Partnership Nhs Foundation Trust,Opportunity,Open,Wf1 3Sp,2024-06-14 12:00:00,  £32500,2024-05-20
"The Provision Of Leisure Services At Sevenoaks Leisure Centre, Edenbridge Leisure Centre And Lullingstone Park Golf Course",Sevenoaks District Council,Opportunity,Open,South East,2024-06-21 12:00:00,  £0,2024-05-20
Strategic Environmental Assessment,University Of Exeter,Opportunity,Open,Ex4 4Qy,2024-06-19 12:00:00,  £180000,2024-05-20
710340458 - High G Centrifuge Test And Training Service Contract - Contracts Finder Opportunity Notice,Ministry Of Defence,Opportunity,Open,Ng34 8Hb,2024-06-21 23:59:00,  £30000000 to £40000000,2024-05-20
"Tender For Extension And Improvements At Lord Scudamore Academy, Hereford.",Herefordshire Council,Opportunity,Open,West Midlands,2024-06-14 12:00:00,  £250000,2024-05-20
Part Ground Floor Internal Refurbishments & Alterations [Wbc],Waverley Borough Council,Opportunity,Open,Gu7 1Hr,2024-06-19 12:00:00,  £0,
Liberty Primary School Arp Adaptions,London Borough Of Merton,Opportunity,Open,England,2024-06-13 17:00:00,  £0,2024-05-20
"Cpu 4417 Planned And Preventative Maintenance And R & M To Auto Doors, Gates, Roller Shutters & Sliding Partition",Nottingham City Council,Opportunity,Open,East Midlands,2024-06-25 12:00:00,  £450000,2024-05-20
Defence Alcohol Harm Reduction And Expert Advice Service,Ministry Of Defence,Opportunity,Open,Any Region,2024-06-24 10:00:00,  £250000,2024-05-20
Se1161 Place National Evaluation And Learning Partner,Sport England,Opportunity,Open,Any Region,2024-06-21 12:00:00,  £3400000,2024-05-20
Obsolescence Rectification And Re-Design Of Tmcc With In Service Support,Ministry Of Defence,Opportunity,Open,Any Region,2024-06-19 17:00:00,  £14000000,
2023-686 Lidar Digital Topographic Scanning Of Farms In Gb,Ahdb,Opportunity,Open,Cv3 4Pe,2024-06-27 12:00:00,  £0,2024-05-20
Rough Sleepers Initiative Lot 2 Management Of Rbk Hmo Including Support & Swep,The Royal Borough Of Kingston Upon Thames,Opportunity,Open,England,2024-06-19 12:00:00,  £543000,2024-05-20
Provision Of Agency Workers And Recruitment Services,Lancashire Renewables Limited,Opportunity,Open,North West,2024-05-30 12:00:00,  £1800000 to £3600000,
British Museum Digital Asset Management System,The Trustees Of The British Museum,Opportunity,Open,London,2024-06-21 13:00:00,  £2125000,2024-05-20
Security Services - Temporary Accommodation,Nottinghamshire County Council,Opportunity,Open,East Midlands,2024-06-20 12:00:00,  £375000,2024-05-20
Provision Of Training Services,Pension Protection Fund,Opportunity,Open,Cr0 2Na,2024-06-20 17:00:00,  £0,2024-05-20
Civic Offices Brickwork And Masonry Repairs & Application Of Water Repellent,Swindon Borough Council,Opportunity,Open,South West,2024-06-21 15:00:00,  £80000,
Gb-Huddersfield: Itt For The Supply And Installation Of An Immersive Simulation Room,University Of Huddersfield,Opportunity,Open,Yorkshire And The Humber,2024-06-17 00:00:00,  £50000 to £100000,2024-05-20
"Washroom Refurb Works, Various Academies",Harris Federation,Opportunity,Open,Cr0 1Lh,2024-06-10 12:00:00,  £260000,2024-05-20
Cumberland Council Minor Works Construction Framework,Cumberland Council,Opportunity,Open,England,2024-07-01 10:00:00,  £24000000,2024-05-20
