Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Future UK Giga-Watt - Early Market Information,DESNZ,  Early engagement,  Open,  Any region,  30 August 2024,Publication date 22 May 2024,None
Ophthalmology EMR Replacement,Oxford University Hospitals,  Opportunity,  Open,  OX4 2PG,"  24 June 2024,  5pm",  £0,  21 May 2024
Force Control Room - Independent Domestic Violence Advocate (IDVA),The Office of the Police & Crime Commissioner,  Early engagement,  Open,  Yorkshire and the Humber,  21 June 2024,Publication date 21 May 2024,None
Custody Healthcare Telephone Advice Service and Pharmaceutical Service - RFI,Kent Police,  Early engagement,  Open,  ME15 9BZ,   3 June 2024,Publication date 21 May 2024,None
MAST-U Double Beam Box Cooling Water,United Kingdom Atomic Energy Authority,  Opportunity,  Open,  South East,"  25 June 2024, 12pm",  £0,  21 May 2024
"Maintenance contract of lifts campus-wide and preferred supplier status for the refurbishment, replacement, supply and install of new lifts",University of Plymouth,  Opportunity,  Open,  PL4 8AA,"  20 June 2024, 12pm",  £0,  21 May 2024
Soft Market Testing - Pay & Display Parking,Bristol City Council,  Early engagement,  Open,  England,  21 August 2024,Publication date 21 May 2024,None
GB-London: SHIFT Data Platform Developer Services,London Legacy Development Corporation,  Opportunity,  Open,  London,"  11 June 2024, 11am","  £100,000 to £500,000",  21 May 2024
Soft Market Testing - Cashless Parking,Bristol City Council,  Early engagement,  Open,  England,  10 June 2024,Publication date 21 May 2024,None
OHCAT - Link Primary School - Internal Refurbishment and new outbuilding,Orchard Hill College & Academy Trust,  Opportunity,  Open,  South East,"  12 June 2024, 12pm","  £250,000 to £300,000",  21 May 2024
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes for Haringey,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"   3 June 2024, 10am",  £0,  21 May 2024
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"   4 June 2024, 10am",  £0,  21 May 2024
Healthwatch Sheffield,Sheffield City Council,  Opportunity,  Open,  Yorkshire and the Humber,"  20 June 2024, 12pm","  £0 to £2,400,000",  21 May 2024
"Expression of Interest for Supported Living Services for People with a Learning Disability, Autism, Impairment or Mental Health Need Framework",Southend City Council,  Early engagement,  Open,  England,  28 May 2024,Publication date 21 May 2024,None
Breastfeeding in the Community,Sheffield City Council,  Opportunity,  Open,  S1 2HH,"   7 June 2024, 12pm","  £0 to £1,324,000",  21 May 2024
Provision of Insurance and related services to Bernicia Group,Bernicia Group,  Opportunity,  Open,  Any region,"  20 June 2024,  5pm","  £5,640,000",  21 May 2024
Framework for Home Support Providers for West & North Norfolk,Norfolk County Council,  Opportunity,  Open,  NR1 2DH,"  20 June 2024,  2pm",  £0,  21 May 2024
PAN2766 - Southfield Newry Housing Scheme,Leicester City Council,  Opportunity,  Open,  England,"  15 July 2024, 12pm","  £19,000,000",  21 May 2024
DHSC: Adult Social Care Digital Expertise,Department of Health and Social Care,  Opportunity,  Open,  SW1H 0EU,"   6 June 2024,  9am","  £474,666",  21 May 2024
Minibus Hire,Bishop Burton College,  Opportunity,  Open,  HU17 8QG,"  28 May 2024,  1pm",  £0,"  21 May 2024, last edited 21 May 2024"
Galvanised Metal Embankment Staircases - Twyford to Greatworth,"Eiffage Kier JV HS2 Main Civils Works, Lots C2 & C3",  Opportunity,  Open,"  East Midlands, West Midlands, South East","  28 May 2024,  5pm","  £100,000 to £150,000",  21 May 2024
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes for Haringey,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"   5 June 2024, 10am",  £0,  21 May 2024
In-Situ Road Recycling,Cumberland Council,  Opportunity,  Open,  England,"   7 June 2024, 12pm","  £200,000",  21 May 2024
"Beck Hill Multi Storey Car Park, Bridlington East Yorkshire",East Riding of Yorkshire Council,  Future opportunity,  Open,  YO15 3AF,Approach to market date 30 June 2024,"  £10,500,000",  21 May 2024
Concession Contract For the Sale of Kerbside Collected Recyclates,Dudley Metropolitan Borough Council,  Opportunity,  Open,  DY1 1HF,"  21 June 2024,  1pm",  £0,  21 May 2024
Reasonable Adjustments Hybrid Model Pilot,KNOWLEDGE TRANSFER NETWORK LIMITED,  Opportunity,  Open,  N1 0QH,"  20 June 2024,  5pm","  £35,000",  21 May 2024
ITT - CW Tuneable Laser Source,National Physical Laboratory,  Opportunity,  Open,  TW11 0LW,"  27 June 2024,  3pm","  £0 to £650,000","  21 May 2024, last edited 21 May 2024"
GB-London: 002417 London Fashion Week British Library and British Fashion Council Student Competition - Consultancy & Stakeholder Management,The British Library,  Opportunity,  Open,  Any region,"  14 June 2024, 12pm","  £10,000 to £25,000",  21 May 2024
Sector Fund,Department for Education,  Early engagement,  Open,  Any region,   4 June 2024,"Publication date 15 May 2024, last edited 21 May 2024",None
Support for Economically Inactive Residents,Cherwell District Council,  Opportunity,  Open,  East of England,"  19 June 2024, 10am","  £96,000",  21 May 2024
RA341996 - B&SC - Cisco equipment,Barnet and Southgate College,  Opportunity,  Open,  N14 6BS,"   7 June 2024,  3pm",  £0,  21 May 2024
GB-London: 002416 Higher Education & Science Event Management Services - 2024-2025,The British Library,  Opportunity,  Open,  Any region,"  14 June 2024, 12pm","  £10,000 to £25,000",  21 May 2024
Main Contractor - 'The Inspiring for Everyone RAF Museum Midlands Development Programme',RAF MUSEUM MIDLANDS,  Opportunity,  Open,  West Midlands,"  28 June 2024, 12am","  £20,000,000",  21 May 2024
SIM Sitewide Fire Compartmentation & Fire Door Remedials,Science Museum Group,  Opportunity,  Open,  SW7 2DD,"  26 June 2024,  6pm","  £600,000 to £1,200,000",  21 May 2024
"CBC-1684-FA-LS Supported Living (incorporating Mental Health, Learning Disabilities & Autism and Physical Disabilities)",Central Bedfordshire Council,  Opportunity,  Open,  SG17 5TQ,"   1 July 2024,  9am",  £0,  21 May 2024
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes for Haringey,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  10 June 2024,  1pm",  £0,  21 May 2024
Tree Maintenance - Planned - Tree Maintenance - Planned - Homes for Haringey,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  11 June 2024, 10am",  £0,  21 May 2024
"Market Sounding - Manufacture, Supply and Installation of Modular Ramps",Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"   5 June 2024, 12pm","  £500,000",  21 May 2024
"Pre-Entry Medical Assessment Services For the Royal Navy, Royal Marines and Reserves",Ministry of Defence,  Opportunity,  Open,  Any region,"   4 June 2024, 12pm","  £8,275,833.33","  23 April 2024, last edited 21 May 2024"
Provision of ICT Service Management Tool,Commonwealth Secretariat,  Opportunity,  Open,  SW1Y 5HX,"  31 May 2024, 12pm","  £1 to £60,000","  16 May 2024, last edited 21 May 2024"
Outdoor Gyms - Trafford Council,Trafford Council,  Opportunity,  Open,  England,"  13 June 2024,  2pm","  £75,000","  16 May 2024, last edited 21 May 2024"
Ascent Homes- Hadston- LOSC Brickwork,Advance Northumberland Limited,  Opportunity,  Open,  United Kingdom,"  15 July 2024, 12:30pm","  £600,000",  21 May 2024
E2412 ELECTRICAL REFURBISHMENT AT ST. MATHEWS KS1 PRIMARY SCHOOL,Luton Council,  Opportunity,  Open,  England,"  11 June 2024, 11:59pm","  £322,000",  21 May 2024
Sensor-Based Ore Sorter,University of Exeter,  Opportunity,  Open,  South West,"  20 June 2024, 12pm","  £0 to £420,000",  21 May 2024
"Invitation to join a Dynamic Purchasing System (DPS) of Temporary Agency, Contractor and Interim Agencies for Preferred Supplier Listing (PSL) Status for Halton Borough Council - Y25002",Halton Borough Council and Commercials Services Kent Ltd t/a Connect2Halton,  Opportunity,  Open,  Any region,"  30 August 2030,  2pm","  £100,000,000",  21 May 2024
Occupational Health Services including Health Surveillance,Mhs Homes Group,  Opportunity,  Open,  South East,"  19 June 2024, 12pm","  £54,000",  21 May 2024
PQ0524 - Cultural Humility and Safety Training,Birmingham City Council,  Opportunity,  Open,  B4 7WB,"  13 June 2024, 12pm",  £0,  21 May 2024
Arts-science collaborations,Natural England,  Opportunity,  Open,  United Kingdom,"  10 June 2024,  9am","  £40,000 to £48,000","  20 May 2024, last edited 21 May 2024"
Northcott School Urgent Repairs,Hull City Council,  Opportunity,  Open,  HU7 4EL,"  21 June 2024, 12pm",  £0,  21 May 2024
Serpentine Reservoir Dell Culverts Remediation Works,The Royal Parks,  Opportunity,  Open,  Any region,"  13 June 2024, 12am","  £100,000",  21 May 2024
2024 May Local Bus Services - Batch 1,Cambridgeshire & Peterborough Combined Authority,  Opportunity,  Open,  England,"  20 June 2024, 12pm",  £0,  21 May 2024
Security & Policing Immersive Experience Stand Build and Design,Home Office,  Opportunity,  Open,  London,"  19 July 2024, 12pm",  £0,  21 May 2024
Direct Payments Service,Swindon Borough Council,  Opportunity,  Open,  SN1 2JN,"  19 June 2024,  2pm","  £372,000",  21 May 2024
GB-Garelochhead: OPA/T652 OFD Garelochhead White Oils Manifold Repairs,Oil and Pipelines Agency,  Opportunity,  Open,  Any region,"  29 May 2024, 12pm","  £10,000 to £25,000",  21 May 2024
Ages of Space Gallery and new Masterplan galleries  Electrical Engineer,Science Museum Group,  Opportunity,  Open,  SW7 2DD,"  21 June 2024,  4pm","  £0 to £40,000",  21 May 2024
Co-designing and Evaluation Framework for Recruitment and Retention,Defra,  Opportunity,  Open,  sw1p 4df,"  24 June 2024, 12pm","  £270,000 to £280,000",  21 May 2024
Archive Service Accreditation 10 Year Review - Phase 2,The National Archives,  Opportunity,  Open,  TW9 4DU,"  24 June 2024,  5pm","  £0 to £12,000",  21 May 2024
"Lift Repairs at the Hat Tech , Hatfield",Welwyn Hatfield Borough Council,  Opportunity,  Open,  AL8 6AE,"  10 June 2024, 12pm","  £50,000 to £70,000","  21 May 2024, last edited 21 May 2024"
GB-Leeds: SB735 Strip out of James Graham Sound Studios,Leeds Beckett University,  Opportunity,  Open,  Yorkshire and the Humber,"   3 June 2024, 12pm","  £50,000 to £100,000",  21 May 2024
CA14134 - Market Operator,Spelthorne Borough Council,  Opportunity,  Open,  TW18 1XB,"  24 June 2024, 12pm",  £0,  21 May 2024
CP2463-23 Devon & Torbay Local Electric Vehicle Infrastructure,Devon County Council,  Early engagement,  Open,  England,  17 August 2024,Publication date 21 May 2024,None
Replacement of polycarbonate roofing,Barnsley Metropolitan Borough Council,  Opportunity,  Open,  S72 9EJ,"  14 June 2024, 12pm",  £0,  21 May 2024
"Nursing, Midwifery and AHP Education in Kent and Medway",BIP SOLUTIONS LIMITED,  Opportunity,  Open,  South East,"  31 May 2024, 12am",  £0,  21 May 2024
GB-Rochford: Cleaning to Council Offices and Operational Assets,Rochford District Council,  Opportunity,  Open,  East of England,"  24 June 2024, 12pm","  £100,000 to £500,000",  21 May 2024
Autonomous Waste Sorting and Segregation (Auto-SAS) - PIN,Nuclear Decommissioning Authority,  Early engagement,  Open,  CA24 3HU,  26 June 2024,Publication date 21 May 2024,None
Lewisham Town Hall Chamber Affordable workspace,London Borough of Lewisham,  Early engagement,  Open,  England,  30 June 2024,Publication date 21 May 2024,None
Provision of English Language Training for special purposes (Technical) including General English Language Maths and Science Training for International Students,Ministry of Defence,  Opportunity,  Open,  WV7 3EX,"  19 June 2024, 11:59pm","  £4,088,000",  21 May 2024
St Paul's Field Pathway,Lee Valley Regional Park Authority,  Opportunity,  Open,  EN2 9HG,"  16 July 2024, 12pm",  £0,  21 May 2024
NHS England Health & Justice South East - Children and Young Person's Framework for Integrated Care Community Services (Thames Valley),"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",  Early engagement,  Open,  South East,  18 June 2024,Publication date 21 May 2024,None
CP1619-18 Supported Living Options for Children Looked After (CLA) & Eligible Care Leavers Entry Point 4,Devon County Council,  Opportunity,  Open,  England,"  21 June 2024, 12pm","  £13,628,000",  21 May 2024
"SERVICING OF ALL ELECTRICAL SYSTEMS UNITS AT BRITISH HIGH COMMISSION NIGERIA (KADUNA, KANO, MAIDUGURI, ENUGU, AND PORT-HARCOURT)",Foreign Commonwealth and Development Office,  Opportunity,  Open,  SW1A 2AH,"  20 June 2024,  4pm",  £0,  21 May 2024
Clerk of Works,University Hospitals of North Midlands NHS Trust,  Opportunity,  Open,  West Midlands,"  10 June 2024, 12pm",  £0,  21 May 2024
"e-ITT for the Construction of a Memorial Wall at Hightown Road Cemetery, Ringwood.",New Forest District Council,  Opportunity,  Open,  England,"  31 May 2024, 11:59pm","  £26,000 to £30,000","   2 May 2024, last edited 21 May 2024"
Unlocking Space for Dual Use  Request for Information,UK SPACE AGENCY,  Early engagement,  Open,  United Kingdom,   3 June 2024,"Publication date 24 April 2024, last edited 21 May 2024",None
Education Estates Older Buildings Research,Department For Education,  Early engagement,  Open,  England,  15 July 2024,Publication date 21 May 2024,None
Community Roots Cornwall CIC,Community Roots Cornwall,  Opportunity,  Open,  TR4 8FN,"  22 May 2024,  5pm","  £300,000","  26 April 2024, last edited 21 May 2024"
Last Mile Logistics Hub in Hackney - Bentley Road Car Park,London Borough of Hackney,  Future opportunity,  Open,  England,Approach to market date 20 June 2024,"  £1,300,000",  21 May 2024
Phase 1 Cladding Remedial Works Project - Chloe and Thalia Court,Wandle Housing Association,  Opportunity,  Open,  London,"   1 July 2024, 12pm","  £2,266,478.29",  21 May 2024
067-BK-24 Security Services for Breckland District Council,Breckland District Council,  Opportunity,  Open,  NR19 1EE,"  11 June 2024, 11am","  £110,000 to £130,000",  21 May 2024
Bastion House Strip Out & Fit Out Works,City of London Corporation,  Opportunity,  Open,  London,"  20 June 2024, 12pm","  £4,949,145",  21 May 2024
Home Office Child Abuse Image Database (CAID) Hosting and Associated Services 2 - Market Engagement,Home Office,  Early engagement,  Open,  United Kingdom,   5 June 2024,Publication date 21 May 2024,None
CSC23096 Market Engagament for Independent Living Support for 16/17 year olds and Care Leavers,Worcestershire County Council,  Early engagement,  Open,  WR5 2NP,  21 August 2024,Publication date 21 May 2024,None
CWC23178 - Purchase of 2 x Material Handlers including R&M,Wolverhampton City Council,  Opportunity,  Open,  WV1 1RL,"  21 June 2024, 12pm","  £1 to £539,000",  21 May 2024
BHCC DH Public Health Funerals (2),BHCC Public Health,  Opportunity,  Open,  BN1 1JE,"  20 June 2024,  5pm",  £0,"  21 May 2024, last edited 21 May 2024"
Construction & Asset Upgrade / Reinvestment Works DPS,Orbit Group Limited,  Opportunity,  Open,  England,"  24 June 2029, 11:59pm","  £20,000,000","  20 May 2024, last edited 21 May 2024"
Broseley Town Council's Christmas Lights Installation 2024,Broseley Town Council,  Opportunity,  Open,  TF125EL,"  21 June 2024,  3pm",  £0,  21 May 2024
GB-London: Traveline and PlusBus Web Services,Traveline Information Limited,  Opportunity,  Open,  Any region,"   7 June 2024, 12am","  £100,000 to £500,000","  17 May 2024, last edited 21 May 2024"
Grantchester Heat Network - Stage 2,Grantchester Parish Council,  Opportunity,  Open,  East of England,"  14 June 2024,  6pm","  £80,000",  21 May 2024
Digital Capability for Health 2,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"  21 June 2024,  3pm","  £1,200,000,000","  17 May 2024, last edited 21 May 2024"
Request for quote for: HDC202407 - The Provision of Arboricultural and Forestry Services,Hart District Council,  Opportunity,  Open,  GU51 4AE,"   1 July 2024, 12pm",  £0,  21 May 2024
Crime education - resource development and delivery support,The Office of the Police & Crime Commissioner,  Opportunity,  Open,  Yorkshire and the Humber,"  24 May 2024, 12pm","  £100,000","  17 April 2024, last edited 21 May 2024"
"Pillmere Community Play Provision, Saltash",Saltash Town Council,  Opportunity,  Open,  PL12,"  11 June 2024,  5pm","  £80,000 to £95,000",  21 May 2024
Operated Sweeper Hire 2024,Leicestershire County Council,  Early engagement,  Open,  East Midlands,  21 August 2024,Publication date 21 May 2024,None
DPS for Skills and Investment Grant Funding,Worcestershire County Council,  Opportunity,  Open,  WR5 2NP,"  30 September 2028,  5pm","  £0 to £25,000,000","   2 October 2023, last edited 21 May 2024"
"PB2023-01219 Dynamic Purchasing System (DPS) for Home to School, Special Educational Needs and Vulnerable Adult Passenger Transport Services",Darlington Borough Council,  Opportunity,  Open,  England,"  25 June 2024, 12pm","  £15,000,000",  21 May 2024
External and Communal Works Programme 2025 - 2030,TRENT & DOVE HOUSING LIMITED,  Opportunity,  Open,  East Midlands,"  28 June 2024, 12pm","  £9,000,000 to £11,800,000",  21 May 2024
UKRI-3681 MOONS Instrument Packaging and Shipment to Chile.,UK Research & Innovation,  Opportunity,  Open,  Any region,"  28 May 2024,  2pm","  £204,551.52","  23 April 2024, last edited 21 May 2024"
Supply of Adobe Creative Cloud - All Apps - K12 Subscription Licences,Outwood Grange Academies Trust,  Opportunity,  Open,  WF1 2PF,"  10 June 2024, 12pm","  £100,000 to £120,000","  17 May 2024, last edited 21 May 2024"
"Kitchen and Bathroom Labour support contract - 24/25, 25/26, 26/27",Beyond Housing,  Opportunity,  Open,  YO12 7BH,"  14 June 2024, 12pm","  £1 to £1,000,000","  15 May 2024, last edited 21 May 2024"
Laundry Services,University of York,  Opportunity,  Open,  YO10 5DD,"  24 June 2024, 12pm","  £0 to £160,000","  21 May 2024, last edited 21 May 2024"
FINANCE TRANSFORMATION - SOFT MARKET TESTING,YORKSHIRE HOUSING LIMITED,  Early engagement,  Open,  LS10 1FB,   6 June 2024,Publication date 21 May 2024,None
Customer Printer Interface for Libraries,Norfolk County Council,  Opportunity,  Open,  NR1 2DH,"  21 June 2024, 10am",  £0,  21 May 2024
Children's Residential Placements - Consortia Commissioning,Southampton City Council,  Opportunity,  Open,  South East,"  25 June 2024, 12pm","  £2,345,237,300","  21 May 2024, last edited 21 May 2024"
DHSC: Smokefree Generation Fixed Penalty Notice and Disposable Vapes Ban Trading Standards Officer training.,Department of Health and Social Care,  Early engagement,  Open,  SW1H 0EU,   4 June 2024,Publication date 21 May 2024,None
Calow Recreation Ground - Refurbishment of Pavilion,Calow Parish Council,  Opportunity,  Open,  S44 5TA,"  21 June 2024, 12pm","  £100,000",  21 May 2024
Supply Contract for Office Stationery for British Embassy Baghdad,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"   3 June 2024, 10am","  £32,268",  21 May 2024
Provision of Medical Insurance Brokerage Services for British Embassy Bangkok,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  21 June 2024, 11am","  £53,333",  21 May 2024
"Repair, Maintenance and Associated Services",Golden Lane Housing Limited,  Opportunity,  Open,  Any region,"  28 June 2024,  2pm","  £87,000,000",  20 May 2024
"Facilities Management Services for the residential properties and the British Embassy in Caracas, Venezuela.",Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  25 June 2024, 11:59pm",  £0,  20 May 2024
LW101 Travel Management Services,Liverpool School of Tropical Medicine,  Opportunity,  Open,  North West,"  20 June 2024,  4pm","  £6,000,000",  20 May 2024
"Boundary Fencing Roe Lee Primary School, Blackburn",Blackburn with Darwen Borough Council,  Opportunity,  Open,  England,"  10 June 2024,  3pm","  £100,000",  20 May 2024
Plock Court Wetland Extension,Gloucester City Council,  Opportunity,  Open,  England,"  24 May 2024,  5pm","  £85,000","   6 May 2024, last edited 20 May 2024"
Electronic Payments and Associated Services,Procurement Assist Limited c/o Integrated Facilities Management Bolton Ltd (iFM Bolton),  Opportunity,  Open,  Any region,"  19 June 2024,  5pm","  £75,000,000",  20 May 2024
Production of Grant Recipient Case Studies and Short Videos for the Penzance and St Ives Town Deal Enterprise Grant Schemes,CORNWALL DEVELOPMENT COMPANY LTD,  Opportunity,  Open,  South West,"  31 May 2024,  5pm","  £15,000 to £20,000","  11 May 2024, last edited 20 May 2024"
CALSTOCK VILLAGE HALL RE-IMAGINED,CALSTOCK VILLAGE HALL,  Opportunity,  Open,  South West,"  18 June 2024,  5pm","  £140,000 to £170,000",  20 May 2024
Healthy Weight Services,Liverpool City Council,  Opportunity,  Open,  England,"  18 June 2024, 10am","  £2,500,000",  20 May 2024
Provision of Cash Transit Services,South West Yorkshire Partnership NHS Foundation Trust,  Opportunity,  Open,  WF1 3SP,"  14 June 2024, 12pm","  £32,500",  20 May 2024
"The Provision of Leisure Services at Sevenoaks Leisure Centre, Edenbridge Leisure Centre and Lullingstone Park Golf Course",Sevenoaks District Council,  Opportunity,  Open,  South East,"  21 June 2024, 12pm",  £0,  20 May 2024
